fund_slug,description
delphi-ventures,"Team member: Sarah Brennan | Roles: General Counsel | Available links: LinkedIn, Twitter"
delphi-ventures,"Team member: Alex Golding | Roles: Ventures Associate | Available links: LinkedIn, Twitter, Website"
delphi-ventures,"Team member: Can Gurel | Roles: Ventures Associate | Available links: LinkedIn, Twitter"
delphi-ventures,Team member: Kenta Nagamine | Roles: Ventures Ops Analyst | Available links: LinkedIn
circle,"Team member: Jeremy Allaire | Available links: LinkedIn, Twitter"
circle,Team member: Sean Neville | Available links: LinkedIn
circle,Team member: Elisabeth Carpenter | Roles: COO | Available links: LinkedIn
circle,"Team member: Dante Disparte | Available links: LinkedIn, Twitter, Website"
circle,Team member: Heath Tarbert | Available links: LinkedIn
circle,Team member: Li Fan | Roles: CTO | Available links: LinkedIn
circle,"Team member: Nikhil Chandhok | Roles: Chief Product Officer | Available links: LinkedIn, Twitter"
circle,Team member: Kash Razzaghi | Roles: CBO | Available links: LinkedIn
circle,Team member: Jeremy Fox-Geen | Roles: CFO | Available links: LinkedIn
circle,"Team member: Brian Christman | Roles: Chief People Officer | Available links: LinkedIn, Twitter"
circle,Team member: Mandeep Walia | Roles: Chief Compliance & Risk Officer | Available links: LinkedIn
circle,"Team member: Gordon Liao | Roles: Chief Economist | Available links: LinkedIn, Twitter, Website"
circle,Team member: Rajeev Date | Roles: Board Member | Available links: LinkedIn
circle,Team member: Michele Burns | Roles: Board Member
circle,Team member: David Orfao | Roles: Board Member | Available links: LinkedIn
circle,Team member: Quan Zhou | Roles: Board Member
circle,Team member: Danita Ostling | Roles: Board Member | Available links: LinkedIn
circle,"Team member: Anita Sands | Roles: Board Member | Available links: LinkedIn, Twitter, Website"
circle,Team member: Craig Broderick | Roles: Board Member | Available links: LinkedIn
polychain-capital,"Team member: Olaf Carlson-Wee | Available links: LinkedIn, Twitter"
polychain-capital,Team member: Abhijeet Mahagaonkar | Roles: CTO | Available links: LinkedIn
polychain-capital,Team member: Matt Perona | Roles: COO | Available links: LinkedIn
polychain-capital,Team member: Mitch Nedved | Roles: CFO | Available links: LinkedIn
polychain-capital,Team member: Josh Rosenthal | Available links: LinkedIn
polychain-capital,Team member: Bobby Beniers | Roles: Research Partner | Available links: LinkedIn
polychain-capital,"Team member: Henry H | Roles: Research Partner | Available links: LinkedIn, Twitter"
polychain-capital,Team member: Nima Vaziri | Roles: Venture Partner | Available links: LinkedIn
polychain-capital,"Team member: Matt Mochary | Roles: Advisor | Available links: LinkedIn, Twitter"
spartan-group,"Team member: Kelvin Koh | Available links: LinkedIn, Twitter"
spartan-group,"Team member: Melody He | Available links: LinkedIn, Twitter"
spartan-group,"Team member: Casper Johansen | Available links: LinkedIn, Twitter"
spartan-group,"Team member: Audrey Taylor-Akwenye | Roles: CTO | Available links: LinkedIn, Twitter"
spartan-group,"Team member: Adrian Lai | Roles: Chief Creative Officer  | Available links: LinkedIn, Twitter"
spartan-group,Team member: Li Hui Teo | Roles: Legal & Compliance Officer | Available links: LinkedIn
galaxy-digital,Team member: Michael Novogratz | Available links: LinkedIn
galaxy-digital,Team member: Sam Englebardt | Available links: LinkedIn
galaxy-digital,"Team member: Dan Zuller | Available links: LinkedIn, Twitter"
galaxy-digital,Team member: Mike Giampapa | Roles: General Partner | Available links: LinkedIn
galaxy-digital,Team member: Will Nuelle | Roles: General Partner | Available links: LinkedIn
galaxy-digital,"Team member: Christopher Ferraro | Available links: LinkedIn, Twitter"
galaxy-digital,"Team member: Damien Vanderwilt | Available links: LinkedIn, Twitter"
galaxy-digital,Team member: Erin Brown | Roles: COO | Available links: LinkedIn
galaxy-digital,Team member: Andrew Siegel | Available links: LinkedIn
galaxy-digital,Team member: Lagan Srivastava | Roles: Chief Compliance Officer | Available links: LinkedIn
galaxy-digital,Team member: Leinee Hornbeck | Roles: Chief People Officer | Available links: LinkedIn
galaxy-digital,Team member: Alex Ioffe | Roles: CFO | Available links: LinkedIn
galaxy-digital,Team member: Thomas Harrop | Roles: CRO | Available links: LinkedIn
galaxy-digital,"Team member: Sebastian Benkert | Roles: CMO | Available links: LinkedIn, Twitter"
galaxy-digital,Team member: Eddie Schwartz | Available links: LinkedIn
galaxy-digital,Team member: Michael Daffey
galaxy-digital,"Team member: Neal Katyal | Available links: LinkedIn, Twitter"
galaxy-digital,Team member: Bill Koutsouras | Roles: Member Board of Directors | Available links: LinkedIn
galaxy-digital,Team member: Jane Dietze | Roles: Member Board of Directors | Available links: LinkedIn
galaxy-digital,Team member: Dominic Docherty | Roles: Member Board of Directors | Available links: LinkedIn
galaxy-digital,Team member: Rhonda Adams Medina | Roles: Member Board of Directors | Available links: LinkedIn
galaxy-digital,Team member: Rich Tavoso | Roles: Member Board of Directors | Available links: LinkedIn
galaxy-digital,Team member: Chloe Tatosian | Available links: LinkedIn
galaxy-digital,Team member: Jaisel Sandhu | Roles: EIR | Available links: LinkedIn
galaxy-digital,"Team member: Yi Tong | Roles: Principal | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Marc Andreessen | Roles: Co-Founder | Available links: Twitter
andreessen-horowitz,"Team member: Ben Horowitz | Roles: Co-Founder | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Chris Dixon | Available links: LinkedIn, Twitter, Website"
andreessen-horowitz,"Team member: Anthony Albanese | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Christopher Lyons | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Ali Yahya | Roles: General Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Sriram Krishnan | Roles: General Partner | Available links: Twitter
andreessen-horowitz,Team member: Ariana Simpson | Roles: General Partner | Available links: Twitter
andreessen-horowitz,"Team member: Eddy Lazarin | Roles: CTO | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Jai Ramaswamy | Roles: CLO | Available links: LinkedIn
andreessen-horowitz,"Team member: Kim Milosevich | Roles: CMO | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Scott Walker | Roles: Chief Compliance Officer | Available links: LinkedIn
andreessen-horowitz,"Team member: Milles Jennigs | Roles: General Counsel | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Ed Lynch | Roles: Strategic Finance Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Emily Westerhold | Roles: Financial Operations Partner | Available links: LinkedIn
andreessen-horowitz,"Team member: Jason Rosenthal | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Joshua Grimm | Roles: Finance Controller  | Available links: LinkedIn
andreessen-horowitz,"Team member: Robin Guo | Roles: Gaming Investment Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Justin Kahl | Roles: Investment Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Carra Wu | Roles: Investment Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Elizabeth Harkavy | Roles: Investment Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Guy Wuollet | Roles: Investment Partner | Available links: LinkedIn, Twitter, Website"
andreessen-horowitz,Team member: Mariano Sorgente | Roles: Investment Partner | Available links: Twitter
andreessen-horowitz,Team member: Mason Hall | Roles: Investment Partner | Available links: LinkedIn
andreessen-horowitz,"Team member: Michael Blau | Roles: Investment Partner | Available links: LinkedIn, Twitter, Website"
andreessen-horowitz,"Team member: Porter Smith | Roles: Investment Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Valeria Nikolaenko | Roles: Research Partner | Available links: LinkedIn, Twitter, Website"
andreessen-horowitz,Team member: Justin Thaler | Roles: Research Partner | Available links: Twitter
andreessen-horowitz,Team member: Joseph Bonneau | Roles: Research Partner | Available links: Website
andreessen-horowitz,"Team member: Sam Broner | Roles: Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Pyrs Carvolth | Roles: Partner | Available links: LinkedIn
andreessen-horowitz,"Team member: Maggie Hsu | Roles: Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Jay Drain | Roles: Partner | Available links: LinkedIn, Twitter, Website"
andreessen-horowitz,Team member: Alex Immerman | Roles: Partner | Available links: LinkedIn
andreessen-horowitz,"Team member: Jane Lippencott | Roles: Partner | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Ross Shuel | Roles: Associate | Available links: LinkedIn, Twitter"
andreessen-horowitz,"Team member: Dan Boneh | Roles: Senior Research Advisor | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Richard Rosenblatt | Roles: Senior Advisor | Available links: Twitter
andreessen-horowitz,Team member: Sep Kamvar | Roles: Advisor | Available links: Twitter
andreessen-horowitz,"Team member: Packy McCormic | Roles: Advisor | Available links: LinkedIn, Twitter"
andreessen-horowitz,Team member: Bill Hillman | Roles: Advisor | Available links: LinkedIn
dragon-fly-capital,Team member: Bo Feng | Available links: LinkedIn
dragon-fly-capital,"Team member: Haseeb Qureshi | Roles: Managing Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Tom Schmidt | Roles: General Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Rob Hadick | Roles: General Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Lindsay Lin | Available links: LinkedIn, Twitter"
dragon-fly-capital,Team member: Sylvia Liu | Roles: CFO | Available links: LinkedIn
dragon-fly-capital,"Team member: Scott Hershorin | Roles: Chief Compliance Officer | Available links: LinkedIn, Twitter"
dragon-fly-capital,Team member: Chris Ahsing | Roles: Talent Partner | Available links: LinkedIn
dragon-fly-capital,Team member: Mikh Jones | Roles: Talent Partner | Available links: Twitter
dragon-fly-capital,"Team member: Ivan Bogatyy | Roles: Research Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Anirudh Pai | Roles: Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Gengmo Qi | Roles: Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,Team member: Cheryl Chan | Roles: Partner | Available links: LinkedIn
dragon-fly-capital,"Team member: Kadin Donohoe | Roles: Junior Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,Team member: Omar Kanji | Roles: Junior Partner | Available links: Twitter
dragon-fly-capital,"Team member: Sanat Kapur | Roles: Junior Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,"Team member: Rune Christensen | Roles: Venture Partner | Available links: LinkedIn, Twitter"
dragon-fly-capital,Team member: Chase Lochmiller | Roles: Venture Partner | Available links: Twitter
dragon-fly-capital,Team member: Gordon Chen | Roles: Venture Partner | Available links: LinkedIn
paradigm,"Team member: Fred Ehrsam | Available links: LinkedIn, Twitter"
paradigm,"Team member: Matt Huang | Available links: LinkedIn, Twitter"
paradigm,"Team member: Alana Palmedo | Available links: LinkedIn, Twitter"
paradigm,"Team member: Dan Robinson | Available links: LinkedIn, Twitter"
paradigm,"Team member: Charlie Noyes | Roles: General Partner | Available links: LinkedIn, Twitter"
paradigm,Team member: James Miller | Roles: Chief Investment Officer | Available links: LinkedIn
paradigm,"Team member: Katie Biber | Roles: CLO | Available links: LinkedIn, Twitter"
paradigm,Team member: Alex Popescu | Available links: LinkedIn
paradigm,"Team member: Georgios Konstantopoulos | Available links: LinkedIn, Twitter"
paradigm,"Team member: ZachXBT | Roles: Advisor | Available links: Twitter, Telegram"
paradigm,"Team member: Arjun Balaji | Roles: Investment Partner | Available links: LinkedIn, Twitter"
paradigm,"Team member: Doug Feagin | Roles: Investment Partner | Available links: LinkedIn, Twitter"
paradigm,"Team member: Caitlin Pintavorn | Roles: Investment Partner | Available links: LinkedIn, Twitter"
paradigm,"Team member: Samczsun | Available links: LinkedIn, Twitter"
paradigm,"Team member: Dave White | Roles: Research Partner | Available links: LinkedIn, Twitter"
paradigm,Team member: Frankie | Roles: Research Partner | Available links: Twitter
paradigm,Team member: Dan McCarthy | Roles: Talent Partner | Available links: LinkedIn
paradigm,Team member: Alexander Walterspiel | Available links: LinkedIn
paradigm,"Team member: Rodrigo Seira | Available links: LinkedIn, Twitter"
paradigm,Team member: Jackson Dahl | Roles: Venture Partner | Available links: LinkedIn
paradigm,Team member: Josh Harris | Roles: EIR | Available links: Twitter
sequoia-capital,Team member: Don Valentine | Roles: Founder
sequoia-capital,Team member: Sumaiya Balbale | Available links: LinkedIn
sequoia-capital,Team member: Robin Chang | Roles: CCO | Available links: LinkedIn
sequoia-capital,"Team member: Avon Puri | Roles: Global CDO | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Bijan Poustinchian | Roles: Chief of Staff | Available links: LinkedIn
sequoia-capital,Team member: Jung Yeon Son | Roles: CLO | Available links: LinkedIn
sequoia-capital,"Team member: Caleb Tennis | Roles: CISO | Available links: LinkedIn, Website"
sequoia-capital,Team member: Don Vieira
sequoia-capital,Team member: Cindy Lee | Roles: General Counsel | Available links: LinkedIn
sequoia-capital,"Team member: Stephanie Zhan | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Mike Vernal | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Bryan Schreier | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: George Robson | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Lauren Reeder | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Cornelius Menke | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Shaun Maguire | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Luciana Lixandru | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Alfred Lin | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Douglas Leone | Roles: Partner | Available links: LinkedIn
sequoia-capital,"Team member: Jess Lee | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Jim Goetz | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Charlie Curnin | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Bill Coughran | Roles: Partner | Available links: LinkedIn
sequoia-capital,"Team member: Josephine Chen | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Konstantine Buhler | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Roelof Botha | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Julien Bek | Roles: Partner | Available links: LinkedIn
sequoia-capital,"Team member: Bogomil Balkansky | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Andrew Reed | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Matt Miller | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Kais Khimji | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Sonya Huang | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Dannie Herzberg | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Ravi Gupta | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Pat Grady | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: James Flynn | Roles: Partner | Available links: LinkedIn
sequoia-capital,"Team member: Carl Eschenbach | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: David Cahn | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,"Team member: Romie Boyd | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Isaiah Boone | Roles: Partner | Available links: LinkedIn
sequoia-capital,"Team member: Anas Biad | Roles: Partner | Available links: LinkedIn, Twitter"
sequoia-capital,Team member: Vickie Peng | Roles: Product Partner | Available links: LinkedIn
sequoia-capital,Team member: James Buckhouse | Roles: Design Partner | Available links: LinkedIn
sequoia-capital,Team member: Kathleen Forte | Roles: IR Partner | Available links: LinkedIn
sequoia-capital,"Team member: Stacey Gerber | Available links: LinkedIn, Twitter"
binance-labs,"Team member: Changpeng Zhao | Roles: Co-Founder | Available links: LinkedIn, Twitter"
binance-labs,Team member: Ella Zhang | Roles: Head of YZi Labs | Available links: Twitter
binance-labs,Team member: Dana Hou | Roles: Investment Partner | Available links: Twitter
binance-labs,Team member: Alex Odagiu | Roles: Investment Director | Available links: LinkedIn
binance-labs,Team member: Andy Chang | Roles: Investment Director | Available links: LinkedIn
binance-labs,Team member: Max Coniglio | Roles: Investment Director | Available links: LinkedIn
binance-labs,Team member: Nicola W. | Roles: Investment Director | Available links: Twitter
binance-labs,"Team member: Jane He | Roles: General Partner | Available links: LinkedIn, Twitter"
consensys,"Team member: Joseph Lubin | Available links: LinkedIn, Twitter"
consensys,"Team member: Rob Dawson | Roles: CTO | Available links: LinkedIn, Twitter"
consensys,Team member: Chris McKibbin | Roles: COO | Available links: LinkedIn
consensys,"Team member: Simon Morris | Roles: Chief Strategy Officer | Available links: LinkedIn, Twitter"
consensys,Team member: Cole D'Ambrosio | Roles: CFO | Available links: LinkedIn
consensys,Team member: Mark D. Young | Available links: LinkedIn
consensys,"Team member: Neal Gorevic | Roles: CMO | Available links: LinkedIn, Twitter"
consensys,"Team member: Jeremy Millar | Roles: Chief of Staff | Available links: LinkedIn, Twitter"
consensys,"Team member: Amanda Keleher | Roles: Chief People Officer | Available links: LinkedIn, Twitter"
consensys,"Team member: Matt Corva | Roles: General Counsel | Available links: LinkedIn, Twitter"
consensys,"Team member: Sarah Friar | Roles: Member Board of Directors | Available links: LinkedIn, Twitter"
consensys,"Team member: Dror Avieli | Available links: LinkedIn, Twitter"
consensys,"Team member: Michael Wuehler | Roles: Managing Director | Available links: LinkedIn, Twitter"
consensys,Team member: Guillaume Dechaux | Roles: Managing Director | Available links: LinkedIn
consensys,"Team member: Lars Schulze | Roles: Business Partner | Available links: LinkedIn, Twitter"
consensys,Team member: Benjamin Lavergne | Roles: Investment Principal | Available links: LinkedIn
consensys,Team member: John Zimmerebner | Roles: Senior Advisor | Available links: LinkedIn
consensys,Team member: William Luedtke | Roles: Special Advisor | Available links: LinkedIn
consensys,Team member: Monica Singer | Roles: Strategic Advisor | Available links: LinkedIn
multicoin-capital,"Team member: Kyle Samani | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Tushar Jain | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Vinny Lingham | Roles: General Partner | Available links: LinkedIn, Twitter"
multicoin-capital,Team member: Brian Smith | Available links: LinkedIn
multicoin-capital,"Team member: Gregory Xethalis | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Daniel Leonardo | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Matthew Shapiro | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: John Robert Reed | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Spencer Applebaum | Roles: Investment Partner | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Shayon Sengupta | Roles: Investment Partner | Available links: LinkedIn, Twitter"
multicoin-capital,"Team member: Vishal Kankani | Roles: Principal | Available links: LinkedIn, Twitter"
black-rock,Team member: Larry Fink | Available links: LinkedIn
black-rock,Team member: Rob Kapito
black-rock,Team member: Susan Wagner | Available links: LinkedIn
black-rock,Team member: Ben Golub | Available links: LinkedIn
black-rock,Team member: Ralph Schlosstein | Roles: Co-Founder
black-rock,Team member: Hugh Frater | Roles: Co-Founder | Available links: LinkedIn
black-rock,Team member: Barbara Novick | Roles: Co-Founder | Available links: LinkedIn
black-rock,Team member: Keith Anderson | Roles: Co-Founder
black-rock,Team member: Rob Fairbairn | Roles: Vice Chairman | Available links: LinkedIn
black-rock,Team member: Mark McCombe | Roles: Vice Chairman
black-rock,Team member: Gary Shedlin | Roles: Vice Chairman
black-rock,Team member: Samara Cohen | Roles: CIO | Available links: LinkedIn
black-rock,Team member: Rob Goldstein | Roles: COO | Available links: LinkedIn
black-rock,Team member: Chris Meade | Available links: LinkedIn
black-rock,Team member: Ed Fishwick | Roles: CRO | Available links: LinkedIn
black-rock,Team member: Martin Small | Roles: CFO | Available links: LinkedIn
black-rock,Team member: Bader M. Alsaad | Roles: Member Board of Directors
black-rock,Team member: Pamela Daley | Roles: Member Board of Directors
black-rock,Team member: William E. Ford | Roles: Member Board of Directors | Available links: LinkedIn
black-rock,Team member: Fabrizio Freda | Roles: Member Board of Directors | Available links: LinkedIn
black-rock,Team member: Murry Gerber | Roles: Member Board of Directors | Available links: LinkedIn
black-rock,"Team member: Peggy Johnson | Roles: Member Board of Directors | Available links: LinkedIn, Twitter"
black-rock,Team member: Cheryl Mills | Roles: Member Board of Directors
black-rock,Team member: Amin H. Nasser | Roles: Member Board of Directors | Available links: Twitter
black-rock,Team member: Gordon M. Nixon | Roles: Member Board of Directors
black-rock,Team member: Kristin Peck | Roles: Member Board of Directors | Available links: LinkedIn
black-rock,"Team member: Charles H. Robbins | Roles: Member Board of Directors | Available links: LinkedIn, Twitter"
black-rock,Team member: Marco Antonio Slim | Roles: Member Board of Directors | Available links: Twitter
black-rock,"Team member: Hans E. Vestberg | Roles: Member Board of Directors | Available links: LinkedIn, Twitter"
black-rock,Team member: Mark Wilson | Roles: Member Board of Directors
pantera-capital,"Team member: Dan Morehead | Available links: LinkedIn, Twitter"
pantera-capital,"Team member: Franklin Bi | Roles: Partner | Available links: LinkedIn, Twitter"
pantera-capital,"Team member: Paul Veradittakit | Roles: Managing Partner | Available links: LinkedIn, Twitter"
pantera-capital,Team member: Matt Gorham | Roles: COO | Available links: LinkedIn
pantera-capital,Team member: Marc Selfon | Roles: CFO | Available links: LinkedIn
pantera-capital,"Team member: Katrina Paglia | Roles: CLO | Available links: LinkedIn, Twitter"
pantera-capital,"Team member: Lauren Stephanian | Roles: Partner | Available links: LinkedIn, Twitter"
pantera-capital,Team member: Paul Brodsky | Roles: Partner | Available links: LinkedIn
pantera-capital,Team member: Reed Hunter Garetto | Roles: Principal | Available links: LinkedIn
pantera-capital,"Team member: Cosmo Jiang | Roles: Portfolio Manager | Available links: LinkedIn, Twitter"
pantera-capital,Team member: Chia Jeng Yang | Roles: Principal | Available links: LinkedIn
pantera-capital,"Team member: Ryan Barney | Roles: Principal | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Bart Stephens | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Brad Stephens | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Aleks Larsen | Roles: General Partner | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Kinjal Shah | Roles: General Partner | Available links: LinkedIn, Twitter"
blockchain-capital,Team member: Tony Schmidt | Available links: LinkedIn
blockchain-capital,Team member: Zalia Aliriza | Available links: LinkedIn
blockchain-capital,"Team member: Joshua Rivera | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Caleb Tebbe | Roles: Principal Research Engineer | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Spencer Bogart | Roles: Principal Research Engineer | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Yuan Han Li | Roles: Principal | Available links: LinkedIn, Twitter"
blockchain-capital,"Team member: Alan Curtis | Roles: Venture Partner | Available links: LinkedIn, Twitter"
blockchain-capital,Team member: Alison Davis | Roles: Chairman of Advisory Board | Available links: LinkedIn
blockchain-capital,Team member: Eric Sippel | Roles: Advisor | Available links: LinkedIn
blockchain-capital,"Team member: Gavin Wood | Roles: Advisor | Available links: Twitter, Website"
blockchain-capital,Team member: Jose Fernandez da Ponte | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Mary Cranston | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Michael Rolnick | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Mike Brock | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Michael Novogratz | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Sonja Perkins | Roles: Advisor | Available links: LinkedIn
blockchain-capital,Team member: Terry Schwakopf | Roles: Advisor | Available links: LinkedIn
y-combinator,Team member: Robert Tappan Morris | Roles: Co-Founder
y-combinator,"Team member: Trevor Blackwell | Roles: Co-Founder | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Paul Graham | Roles: Co-Founder | Available links: Twitter, Website"
y-combinator,Team member: Jessica Livingston | Roles: Co-Founder | Available links: LinkedIn
y-combinator,"Team member: Garry Tan | Available links: LinkedIn, Twitter"
y-combinator,Team member: Dalton Caldwell | Available links: LinkedIn
y-combinator,"Team member: Jared Friedman | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Michael Seibel | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Harj Taggar | Available links: LinkedIn, Twitter"
y-combinator,Team member: Nicole Christa Cadman | Roles: General Counsel | Available links: LinkedIn
y-combinator,"Team member: Gustaf Alstromer | Roles: Group Partner | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Tom Blomfield | Roles: Group Partner | Available links: LinkedIn, Twitter"
y-combinator,Team member: Paul Buchheit | Roles: Group Partner | Available links: Twitter
y-combinator,"Team member: Nicolas Dessaigne | Roles: Group Partner | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Aaron Epstein | Roles: Group Partner | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Brad Flora | Roles: Group Partner | Available links: LinkedIn, Twitter"
y-combinator,"Team member: Diana Hu | Roles: Group Partner | Available links: LinkedIn, Twitter"
