fund_slug,description
stronghold-resource-partners,"Date: Jun 07, 2021 | Company: Unchained Capital | Amount: $25,000,000 | Stage: Series A | Category: CeFi"
bbsfinance,"Date: May 24, 2021 | Company: Mintlayer | Amount: $5,200,000 | Stage: Seed | Category: Blockchain Infrastructure"
bbsfinance,"Date: Jun 03, 2021 | Company: DeFi11 | Amount: $3,500,000 | Stage: Seed | Category: GameFi"
bbsfinance,"Date: Jan 25, 2021 | Company: CoverCompared | Amount: $1,000,000 | Stage: Seed | Category: Blockchain Service"
orion-protocol,"Date: May 27, 2021 | Company: Polytrade | Amount: $1,200,000 | Stage: Undisclosed | Category: Blockchain Service"
orion-protocol,"Date: Jun 02, 2021 | Company: 2crazyNFT | Amount: $1,700,000 | Stage: Seed | Category: NFT"
orion-protocol,"Date: Jan 07, 2021 | Company: DAO Maker | Stage: Strategic | Category: DeFi"
orion-protocol,"Date: Apr 13, 2021 | Company: NFT Tech | Stage: Undisclosed | Category: Blockchain Infrastructure"
fosun-international,"Date: May 27, 2021 | Company: Yunphant Blockchain | Amount: $15,000,000 | Stage: Series B | Category: Blockchain Service"
fosun-international,"Date: Mar 31, 2017 | Company: NAGA | Amount: $12,500,000 | Stage: Undisclosed | Category: CeFi"
fosun-international,"Date: Mar 30, 2017 | Company: The NAGA Group | Amount: $13,800,000 | Stage: Undisclosed | Category: Blockchain Service"
shenzhen-capital,"Date: Oct 21, 2019 | Company: Golden Technology | Amount: $141,000,000 | Stage: Series B | Category: Blockchain Service"
shenzhen-capital,"Date: Nov 20, 2018 | Company: Yunphant Blockchain | Amount: $2,900,000 | Stage: Series A | Category: Blockchain Service"
shenzhen-capital,"Date: May 27, 2021 | Company: Yunphant Blockchain | Amount: $15,000,000 | Stage: Series B | Category: Blockchain Service"
shenzhen-capital,"Date: Mar 20, 2017 | Company: Weibit Technology | Amount: $3,700,000 | Stage: Extended Series A | Category: Blockchain Service"
shenzhen-capital,"Date: Jan 08, 2016 | Company: Weibit Technology | Amount: $2,225,000 | Stage: Series A | Category: Blockchain Service"
dealean-capital,"Date: May 21, 2021 | Company: Blocto | Amount: $8,000,000 | Stage: Private Token Sale | Category: Blockchain Service"
dealean-capital,"Date: May 18, 2021 | Company: SubDAO | Stage: Undisclosed | Category: Blockchain Service"
dealean-capital,"Date: Mar 01, 2021 | Company: Dora Factory | Stage: Seed | Category: Blockchain Service"
dealean-capital,"Date: Feb 24, 2021 | Company: ETHA Lend | Amount: $1,350,000 | Stage: Private Token Sale | Category: DeFi"
dealean-capital,"Date: Apr 07, 2021 | Company: Evanesco | Stage: Undisclosed | Category: DeFi"
bancor,"Date: May 20, 2021 | Company: Structure finance | Stage: Seed | Category: DeFi"
bancor,"Date: May 12, 2021 | Company: NAOS Finance | Stage: Strategic | Category: DeFi"
canaan-partners,"Date: Oct 04, 2018 | Company: Skale | Amount: $9,650,000 | Stage: Undisclosed | Category: Chain"
canaan-partners,"Date: May 20, 2021 | Company: Forte | Amount: $185,000,000 | Stage: Series A | Category: GameFi"
tcv,"Date: May 20, 2021 | Company: Trade Republic | Amount: $900,000,000 | Stage: Series C | Category: CeFi"
tcv,"Date: Jul 24, 2020 | Company: Revolut | Amount: $500,000,000 | Stage: Series D | Category: None"
bta-ventures,"Date: May 20, 2021 | Company: BSClaunch | Amount: $800,000 | Stage: Strategic | Category: DeFi"
shasta-ventures,"Date: May 19, 2021 | Company: Vertalo | Amount: $5,000,000 | Stage: Series A | Category: Blockchain Service"
shasta-ventures,"Date: Dec 19, 2018 | Company: Layer1 | Amount: $2,100,000 | Stage: Seed | Category: Blockchain Service"
ape-capital,"Date: May 14, 2021 | Company: ZKCHAOS  | Amount: $1,200,000 | Stage: Strategic | Category: None"
ape-capital,"Date: Mar 10, 2021 | Company: Cellframe  | Amount: $900,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
ape-capital,"Date: Mar 05, 2021 | Company: MobiFi | Amount: $2,600,000 | Stage: Seed | Category: Blockchain Service"
ape-capital,"Date: Apr 19, 2021 | Company: MOAR Finance  | Stage: Strategic | Category: DeFi"
canary,"Date: May 12, 2021 | Company: Hashdex | Amount: $26,000,000 | Stage: Seed | Category: Blockchain Service"
altered-ventures,"Date: Apr 29, 2021 | Company: SuperWorld | Stage: Undisclosed | Category: Social"
austin-rief-ventures,"Date: Apr 27, 2021 | Company: ZenGo | Amount: $20,000,000 | Stage: Series A | Category: Blockchain Service"
divergent-ventures,"Date: Dec 11, 2020 | Company: Swivel Finance | Amount: $1,150,000 | Stage: Seed | Category: DeFi"
divergent-ventures,"Date: Apr 20, 2021 | Company: Guru Network | Amount: $1,000,000 | Stage: Seed | Category: DeFi"
mastercard,"Date: Oct 09, 2020 | Company: Marqeta | Stage: Undisclosed | Category: Blockchain Service"
mastercard,"Date: May 15, 2024 | Company: Parfin (Rayls) | Stage: Incubation | Category: CeFi"
mastercard,"Date: May 14, 2020 | Company: Minka | Amount: $3,000,000 | Stage: Undisclosed | Category: Blockchain Service"
mastercard,"Date: Feb 13, 2019 | Company: SendFriend | Amount: $1,700,000 | Stage: Seed | Category: Blockchain Service"
mastercard,"Date: Apr 13, 2021 | Company: ConsenSys | Amount: $65,000,000 | Stage: Strategic | Category: Blockchain Service"
alliance-bernstein,"Date: Apr 13, 2021 | Company: Epic Games | Amount: $1,000,000,000 | Stage: Undisclosed | Category: None"
metaconstant-ventures,"Date: Apr 09, 2021 | Company: PolkaDomain | Amount: $400,000 | Stage: Private Token Sale | Category: None"
tenaya-capital,"Date: Nov 18, 2020 | Company: Fireblocks | Amount: $30,000,000 | Stage: Series B | Category: Blockchain Service"
tenaya-capital,"Date: Mar 19, 2021 | Company: Fireblocks | Amount: $133,000,000 | Stage: Series C | Category: Blockchain Service"
tenaya-capital,"Date: Jan 11, 2019 | Company: Fireblocks | Amount: $16,000,000 | Stage: Series A | Category: Blockchain Service"
quest-capital,"Date: Sep 12, 2020 | Company: DeXe | Stage: Strategic | Category: DeFi"
quest-capital,"Date: Mar 17, 2021 | Company: Black Ocean | Amount: $4,300,000 | Stage: Seed | Category: DeFi"
quest-capital,"Date: Aug 24, 2020 | Company: CCFOX | Stage: Series A | Category: CeFi"
millennium-management,"Date: Mar 08, 2021 | Company: Starling Bank | Amount: $376,000,000 | Stage: Series D | Category: CeFi"
amplifi,"Date: Sep 06, 2020 | Company: RioDeFi | Amount: $5,000,000 | Stage: Seed | Category: DeFi"
amplifi,"Date: Mar 02, 2021 | Company: Blockchain Cuties Universe | Stage: Seed | Category: DeFi"
amplifi,"Date: Feb 25, 2021 | Company: DAFI Protocol | Amount: $759,375 | Stage: Private Token Sale | Category: DeFi"
amplifi,"Date: Feb 11, 2021 | Company: Xend Finance | Amount: $2,000,000 | Stage: Seed | Category: DeFi"
amplifi,"Date: Dec 29, 2020 | Company: Nord Finance | Amount: $1,230,000 | Stage: Seed | Category: DeFi"
capital-factory,"Date: Mar 02, 2021 | Company: Unchained Capital | Amount: $5,500,000 | Stage: Seed | Category: CeFi"
e-ventures,"Date: Jul 16, 2020 | Company: Sorare | Amount: $4,000,000 | Stage: Seed | Category: GameFi"
e-ventures,"Date: Feb 25, 2021 | Company: Sorare | Amount: $50,000,000 | Stage: Series A | Category: GameFi"
e-ventures,"Date: Feb 09, 2021 | Company: Homa | Amount: $15,000,000 | Stage: Seed | Category: Blockchain Service"
bridge-bank,"Date: Feb 25, 2021 | Company: Step | Amount: $15,000,000 | Stage: Debt Financing | Category: CeFi"
google-launchpad-accelerator,"Date: May 23, 2017 | Company: GAMEE | Amount: $50,000 | Stage: Undisclosed | Category: GameFi"
google-launchpad-accelerator,"Date: Feb 11, 2021 | Company: Xend Finance | Amount: $2,000,000 | Stage: Seed | Category: DeFi"
iconiq-capital,"Date: Oct 26, 2018 | Company: Epic Games | Amount: $1,250,000,000 | Stage: Undisclosed | Category: None"
iconiq-capital,"Date: May 10, 2018 | Company: Robinhood | Amount: $363,000,000 | Stage: Series D | Category: None"
iconiq-capital,"Date: Jun 05, 2018 | Company: Marqeta | Amount: $45,000,000 | Stage: Series D | Category: Blockchain Service"
iconiq-capital,"Date: Feb 01, 2021 | Company: Robinhood | Amount: $2,400,000,000 | Stage: Undisclosed | Category: None"
fantail-ventures,"Date: Jan 29, 2021 | Company: Robinhood | Amount: $1,000,000,000 | Stage: Undisclosed | Category: None"
victory-park-capital,"Date: Mar 27, 2018 | Company: Spring Labs | Amount: $14,750,000 | Stage: Undisclosed | Category: Social"
victory-park-capital,"Date: Jan 28, 2021 | Company: Dave | Amount: $100,000,000 | Stage: Undisclosed | Category: CeFi"
singapore-exchange,"Date: May 04, 2018 | Company: Cobalt | Stage: Undisclosed | Category: CeFi"
singapore-exchange,"Date: Jan 21, 2021 | Company: ADDX | Amount: $50,000,000 | Stage: Series A | Category: CeFi"
tokai-tokyo-financial-holdings,"Date: Jan 21, 2021 | Company: ADDX | Amount: $50,000,000 | Stage: Series A | Category: CeFi"
tokai-tokyo-financial-holdings,"Date: Jan 14, 2020 | Company: ADDX | Amount: $5,000,000 | Stage: Undisclosed | Category: CeFi"
riverpark,"Date: Nov 20, 2019 | Company: AuDIGENT | Amount: $6,700,000 | Stage: Series A | Category: Social"
riverpark,"Date: Jan 11, 2021 | Company: AuDIGENT | Amount: $19,100,000 | Stage: Series B | Category: Social"
matic-foundation,"Date: Sep 10, 2020 | Company: Decentral Games | Amount: $400,000 | Stage: Pre Seed | Category: GameFi"
matic-foundation,"Date: Jan 07, 2021 | Company: DAO Maker | Stage: Strategic | Category: DeFi"
dct-capital,"Date: Jan 01, 2021 | Company: OMNIA Protocol | Amount: $3,200,000 | Stage: Seed | Category: Blockchain Infrastructure"
n26,"Date: Mar 19, 2019 | Company: Donut | Amount: $1,800,000 | Stage: Seed | Category: DeFi"
n26,"Date: Dec 09, 2020 | Company: Upvest | Amount: $12,000,000 | Stage: Undisclosed | Category: CeFi"
axion-global-asset-management,"Date: Dec 09, 2020 | Company: HKbitEX | Amount: $10,000,000 | Stage: Series A | Category: CeFi"
consorsbank,"Date: Dec 09, 2020 | Company: Upvest | Amount: $12,000,000 | Stage: Undisclosed | Category: CeFi"
deepcore,"Date: Feb 18, 2020 | Company: Credify | Amount: $1,000,000 | Stage: Seed | Category: Social"
deepcore,"Date: Dec 01, 2020 | Company: Credify | Amount: $740,000 | Stage: Seed | Category: Social"
seikatsu-ventures,"Date: Nov 26, 2020 | Company: Bridge Mutual | Stage: Seed | Category: DeFi"
seikatsu-ventures,"Date: Nov 26, 2020 | Company: PowerKee | Amount: $125,000 | Stage: Seed | Category: Blockchain Service"
ascension,"Date: Oct 06, 2017 | Company: Blokur | Amount: $1,200,000 | Stage: Seed | Category: Social"
ascension,"Date: Nov 13, 2020 | Company: Incuto | Amount: $1,750,000 | Stage: Undisclosed | Category: CeFi"
2020-ventures,"Date: Oct 08, 2020 | Company: Unocoin | Amount: $5,000,000 | Stage: Series A | Category: DeFi"
2020-ventures,"Date: Mar 01, 2019 | Company: Kava | Amount: $1,200,000 | Stage: Undisclosed | Category: Chain"
2020-ventures,"Date: Feb 13, 2019 | Company: SendFriend | Amount: $1,700,000 | Stage: Seed | Category: Blockchain Service"
bidesk,"Date: Sep 29, 2020 | Company: UniLend | Amount: $2,400,000 | Stage: Private Token Sale | Category: DeFi"
inblockchain,"Date: Sep 23, 2020 | Company: Siacoin | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Infrastructure"
inblockchain,"Date: Sep 22, 2020 | Company: Skynet Labs | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
inblockchain,"Date: Jul 10, 2019 | Company: Skynet Labs | Amount: $3,250,000 | Stage: Seed | Category: Blockchain Service"
inblockchain,"Date: Aug 02, 2018 | Company: Logos Network | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
inblockchain,"Date: Aug 01, 2018 | Company: Fluence | Amount: $6,000,000 | Stage: Seed | Category: Blockchain Service"
first-star-ventures,"Date: Sep 23, 2020 | Company: Siacoin | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Infrastructure"
first-star-ventures,"Date: Sep 22, 2020 | Company: Skynet Labs | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
first-star-ventures,"Date: Sep 09, 2016 | Company: Skynet Labs | Amount: $750,000 | Stage: Pre Seed | Category: Blockchain Service"
decentraland-foundation,"Date: Sep 10, 2020 | Company: Decentral Games | Amount: $400,000 | Stage: Pre Seed | Category: GameFi"
amatil-x-ventures,"Date: Sep 03, 2020 | Company: Centrapay | Stage: Seed | Category: Social"
01ex,"Date: Sep 02, 2020 | Company: Cashaa | Amount: $5,000,000 | Stage: Seed | Category: CeFi"
01ex,"Date: Jan 10, 2020 | Company: Braintrust | Amount: $18,000,000 | Stage: Strategic | Category: Social"
2f-capital,"Date: Sep 02, 2020 | Company: Cashaa | Amount: $5,000,000 | Stage: Seed | Category: CeFi"
ifinex,"Date: Sep 01, 2020 | Company: Dusk | Amount: $1,000,000 | Stage: Strategic | Category: Chain"
celo-foundation,"Date: May 24, 2020 | Company: Flowcarbon | Amount: $70,000,000 | Stage: Series A | Category: Blockchain Service"
celo-foundation,"Date: Aug 28, 2020 | Company: Yellow Card | Amount: $1,500,000 | Stage: Seed | Category: CeFi"
100x-group,"Date: Jun 03, 2019 | Company: Philippine Digital Asset Exchange | Stage: Undisclosed | Category: CeFi"
100x-group,"Date: Aug 17, 2020 | Company: VCC Exchange | Amount: $1,500,000 | Stage: Strategic | Category: DeFi"
nice-capital,"Date: Jan 01, 2019 | Company: Wyre | Amount: $8,000,000 | Stage: Pre-Series B | Category: DeFi"
nice-capital,"Date: Aug 04, 2020 | Company: Wyre | Amount: $3,000,000 | Stage: Series B | Category: DeFi"
tsg-consumer-partners,"Date: Jul 24, 2020 | Company: Revolut | Amount: $80,000,000 | Stage: Extended Series D | Category: None"
tsg-consumer-partners,"Date: Jul 13, 2020 | Company: Robinhood | Amount: $320,000,000 | Stage: Undisclosed | Category: None"
bittrex-global,"Date: Mar 01, 2019 | Company: VALR | Amount: $1,500,000 | Stage: Seed | Category: CeFi"
bittrex-global,"Date: Jul 21, 2020 | Company: VALR | Amount: $3,400,000 | Stage: Series A | Category: CeFi"
canada-nuchain-foundation,"Date: Jul 16, 2020 | Company: XMEX | Amount: $5,000,000 | Stage: Series A | Category: DeFi"
jerusalem-venture-partners,"Date: Oct 16, 2018 | Company: Valid Network | Amount: $2,000,000 | Stage: Seed | Category: Blockchain Service"
jerusalem-venture-partners,"Date: Jul 14, 2020 | Company: Valid Network | Amount: $8,000,000 | Stage: Seed | Category: Blockchain Service"
sicpa,"Date: Jul 14, 2020 | Company: METACO | Amount: $17,000,000 | Stage: Series A | Category: Blockchain Service"
sicpa,"Date: Apr 27, 2018 | Company: METACO | Stage: Undisclosed | Category: Blockchain Service"
brandenburg-kapital,"Date: Jul 07, 2020 | Company: ZkSystems | Amount: $3,300,000 | Stage: Seed | Category: Blockchain Service"
dg-lab-fund,"Date: Nov 21, 2017 | Company: Blockstream | Stage: Undisclosed | Category: Blockchain Infrastructure"
dg-lab-fund,"Date: Jun 17, 2020 | Company: River Financial | Amount: $5,700,000 | Stage: Seed | Category: CeFi"
dg-lab-fund,"Date: Jul 01, 2020 | Company: Curv | Amount: $23,000,000 | Stage: Series A | Category: Blockchain Service"
dg-lab-fund,"Date: Feb 03, 2020 | Company: Arwen | Amount: $3,300,000 | Stage: Undisclosed | Category: CeFi"
sbi-financial-services,"Date: Jun 30, 2020 | Company: B2C2 | Amount: $30,000,000 | Stage: Strategic | Category: DeFi"
sbi-financial-services,"Date: Feb 25, 2020 | Company: CoolBitX | Amount: $16,700,000 | Stage: Series B | Category: Blockchain Service"
chrysalis-investments,"Date: Oct 23, 2019 | Company: Starling Bank | Amount: $36,600,000 | Stage: Undisclosed | Category: CeFi"
chrysalis-investments,"Date: May 29, 2020 | Company: Starling Bank | Amount: $49,000,000 | Stage: Undisclosed | Category: CeFi"
jtc,"Date: Oct 23, 2019 | Company: Starling Bank | Amount: $36,600,000 | Stage: Undisclosed | Category: CeFi"
jtc,"Date: May 29, 2020 | Company: Starling Bank | Amount: $49,000,000 | Stage: Undisclosed | Category: CeFi"
jtc,"Date: Feb 10, 2020 | Company: Starling Bank | Amount: $77,500,000 | Stage: Undisclosed | Category: CeFi"
vitruvian-partners,"Date: May 28, 2020 | Company: Marqeta | Amount: $150,000,000 | Stage: Undisclosed | Category: Blockchain Service"
vitruvian-partners,"Date: May 22, 2019 | Company: Marqeta | Amount: $260,000,000 | Stage: Series E | Category: Blockchain Service"
166-2nd,"Date: May 24, 2020 | Company: Flowcarbon | Amount: $70,000,000 | Stage: Series A | Category: Blockchain Service"
axa-venture-partners,"Date: May 07, 2020 | Company: HUB Security | Amount: $2,000,000 | Stage: Series A | Category: Blockchain Service"
axa-venture-partners,"Date: Feb 02, 2016 | Company: Blockstream | Amount: $55,000,000 | Stage: Series A | Category: Blockchain Infrastructure"
golden-sand-capital,"Date: May 09, 2019 | Company: tZERO | Amount: $5,000,000 | Stage: Undisclosed | Category: CeFi"
golden-sand-capital,"Date: Aug 10, 2018 | Company: tZERO | Amount: $134,000,000 | Stage: Undisclosed | Category: CeFi"
golden-sand-capital,"Date: Apr 22, 2020 | Company: tZERO | Amount: $5,000,000 | Stage: Undisclosed | Category: CeFi"
moneta-vc,"Date: Oct 17, 2018 | Company: Jassby | Stage: Undisclosed | Category: Blockchain Service"
moneta-vc,"Date: Mar 05, 2020 | Company: Jassby | Amount: $5,000,000 | Stage: Undisclosed | Category: Blockchain Service"
pegasus-tech,"Date: Mar 04, 2020 | Company: Robinhood | Amount: $280,000,000 | Stage: Undisclosed | Category: None"
merian-global-investors,"Date: Feb 13, 2019 | Company: Starling Bank | Amount: $91,500,000 | Stage: Series C | Category: CeFi"
merian-global-investors,"Date: Feb 10, 2020 | Company: Starling Bank | Amount: $77,500,000 | Stage: Undisclosed | Category: CeFi"
nbk-ventures,"Date: Oct 11, 2018 | Company: Blockfolio | Amount: $11,500,000 | Stage: Extended Series A | Category: CeFi"
nbk-ventures,"Date: Jul 31, 2019 | Company: Nuri | Amount: $12,700,000 | Stage: Series A | Category: DeFi"
nbk-ventures,"Date: Jan 30, 2020 | Company: Coinfirm | Amount: $4,000,000 | Stage: Undisclosed | Category: Blockchain Service"
kiatnakin-phatra-financial-group,"Date: Sep 25, 2019 | Company: ADDX | Stage: Series A | Category: CeFi"
kiatnakin-phatra-financial-group,"Date: Jan 14, 2020 | Company: ADDX | Amount: $5,000,000 | Stage: Undisclosed | Category: CeFi"
omidyar-technology-ventures,"Date: Jan 10, 2020 | Company: Braintrust | Amount: $18,000,000 | Stage: Strategic | Category: Social"
omidyar-technology-ventures,"Date: Apr 02, 2019 | Company: Cambridge Blockchain | Amount: $3,500,000 | Stage: Undisclosed | Category: Blockchain Service"
album-vc,"Date: Jan 08, 2020 | Company: TaxBit | Amount: $5,000,000 | Stage: Seed | Category: Blockchain Service"
hdfc-bank,"Date: Nov 23, 2019 | Company: Lentra | Amount: $11,000,000 | Stage: Undisclosed | Category: Blockchain Service"
oxford-capital,"Date: Oct 28, 2019 | Company: Zamna | Amount: $5,000,000 | Stage: Seed | Category: Social"
mosaik-partners,"Date: Oct 22, 2019 | Company: PeerNova | Amount: $31,000,000 | Stage: Undisclosed | Category: Blockchain Service"
mosaik-partners,"Date: Dec 17, 2014 | Company: PeerNova | Amount: $8,600,000 | Stage: Series A | Category: Blockchain Service"
recruit-holdings,"Date: Oct 01, 2019 | Company: Skale | Amount: $17,100,000 | Stage: Strategic | Category: Chain"
recruit-holdings,"Date: Jan 28, 2015 | Company: BitFlyer | Amount: $1,100,000 | Stage: Series B | Category: Blockchain Service"
recruit-holdings,"Date: Aug 01, 2019 | Company: Loyyal | Stage: Undisclosed | Category: Blockchain Service"
blockchain-finance-fund,"Date: Sep 16, 2019 | Company: Coinme | Amount: $1,500,000 | Stage: Pre-Series A | Category: CeFi"
brand-capital,"Date: Jun 20, 2019 | Company: Indorse Token | Amount: $6,500,000 | Stage: Strategic | Category: Blockchain Service"
brand-capital,"Date: Dec 23, 2016 | Company: 1World Online | Amount: $4,900,000 | Stage: Undisclosed | Category: Social"
creative-destruction-lab,"Date: Oct 18, 2017 | Company: NuCypher | Stage: Undisclosed | Category: Blockchain Service"
creative-destruction-lab,"Date: Jun 12, 2019 | Company: Beatdapp | Stage: Undisclosed | Category: Blockchain Service"
newtown-partners,"Date: Jun 03, 2019 | Company: OVEX | Stage: Extended Seed | Category: CeFi"
newtown-partners,"Date: Apr 03, 2019 | Company: OVEX | Stage: Seed | Category: CeFi"
thunder-core,"Date: May 23, 2019 | Company: The Sandbox | Amount: $2,500,000 | Stage: Undisclosed | Category: GameFi"
