fund_slug,description
shenzhen-capital,Shenzhen Capital Group | Type: Venture | Tier: 3 | Based in China
very-early-ventures,Very Early Ventures | Type: Venture | Tier: 4 | Location: Not specified
lecca-ventures,Lecca Ventures | Type: Venture | Tier: 4 | Location: Not specified
crypto-times,Crypto Times | Type: Corporation | Tier: 4 | Based in Japan
exor-ventures,Exor Ventures | Type: Venture | Tier: 4 | Based in Netherlands
paramita-venture,Paramita Venture | Type: Venture | Tier: 4 | Based in Singapore
reforge-vc,Reforge VC | Type: Venture | Tier: 4 | Location: Not specified
curved-ventures,Curved Ventures | Type: Venture | Tier: 4 | Location: Not specified
masterkey,Masterkey | Type: Venture | Tier: 4 | Based in United States
tvm-ventures,TVM Ventures | Type: Venture | Tier: 4 | Location: Not specified
node-capital,Node.Capital | Type: Venture | Tier: 4 | Location: Not specified
syntax-capital,Syntax Capital | Type: Venture | Tier: 4 | Location: Not specified
frachtis,Frachtis | Type: Venture | Tier: 4 | Location: Not specified
echo-base,Echo Base | Type: Venture | Tier: 4 | Location: Not specified
initial-ventures,Initial Ventures | Type: Venture | Tier: 4 | Location: Not specified
octerra-capital,Octerra Capital | Type: Venture | Tier: 4 | Based in Nigeria
redline-lab,REDLINE LAB | Type: Venture | Tier: 4 | Based in Panama
scott-moore,Scott Moore | Type: Angel Investor | Based in Canada
the-rollup-ventures,The Rollup Ventures | Type: Venture | Tier: 4 | Location: Not specified
data-tech-fund,Data Tech Fund | Type: Venture | Tier: 4 | Location: Not specified
four-cities-capital,Four Cities Capital | Type: Venture | Tier: 4 | Location: Not specified
bitcoin-frontier-fund,Bitcoin Frontier Fund | Type: Venture | Tier: 4 | Location: Not specified
victus-global,Victus Global | Type: Venture | Tier: 4 | Location: Not specified
wave-digital-assets,Wave Digital Assets | Type: Venture | Tier: 4 | Based in United States
stateless-ventures,Stateless Ventures | Type: Venture | Tier: 4 | Based in United States
sky-ventures,Sky Ventures | Type: Venture | Tier: 4 | Based in United States
t-fund,T-Fund | Type: Venture | Tier: 4 | Location: Not specified
beam,Beam | Type: Corporation | Tier: 4 | Location: Not specified
metaverse-group,Metaverse Group | Type: Venture | Tier: 4 | Based in Canada
story-protocol,Story Protocol | Type: Corporation | Tier: 4 | Location: Not specified
ainfra-ventures,Ainfra Ventures | Type: Venture | Tier: 4 | Location: Not specified
gaorong-ventures,Gaorong Ventures | Type: Venture | Tier: 4 | Based in China
mobile-capital,Mobile Capital | Type: Venture | Tier: 4 | Location: Not specified
omorica-vc,Omorika Ventures | Type: Venture | Tier: 4 | Based in Serbia
protocol-vc,Protocol VC | Type: Venture | Tier: 4 | Location: Not specified
x-ventures,X Ventures | Type: Venture | Tier: 4 | Based in Germany
further-ventures,Further Ventures | Type: Venture | Tier: 4 | Based in UAE
central-research-capital,Central Research Capital | Type: Venture | Tier: 4 | Location: Not specified
certik,CertiK Ventures | Type: Venture | Tier: 4 | Based in United States
eot-ventures,EOT Ventures | Type: Venture | Tier: 4 | Location: Not specified
pharsalus-capital,Pharsalus Capital | Type: Venture | Tier: 4 | Location: Not specified
citizenx-cryptovc,CitizenX Crypto Ventures | Type: Venture | Tier: 4 | Based in United States
the-open-platform,The Open Platform (TOP) | Type: Venture | Tier: 4 | Based in UAE
thirdweb,thirdweb | Type: Corporation | Tier: 4 | Based in United States
hash-capital,Hash Capital | Type: Venture | Tier: 4 | Location: Not specified
halo-capital,Halo Capital | Type: Venture | Tier: 4 | Location: Not specified
injective-protocol,Injective | Type: Venture | Tier: 4 | Based in United States
chaitech-ventures,ChaiTech Ventures | Type: Venture | Tier: 4 | Location: Not specified
singularitydao,SingularityDAO | Type: Corporation | Tier: 4 | Location: Not specified
amex-ventures,Amex Ventures | Type: Venture | Tier: 4 | Location: Not specified
flashpoint-vc,Flashpoint VC | Type: Venture | Tier: 4 | Location: Not specified
tensquared,TenSquared | Type: Venture | Tier: 4 | Based in United States
wizards-capital,Wizards Capital | Type: Venture | Tier: 4 | Location: Not specified
paramount-capital,Paramount Capital | Type: Venture | Tier: 4 | Based in Hong Kong
asylumventures,asylumventures | Type: Venture | Tier: 4 | Location: Not specified
accomplice-blockchain,Accomplice | Type: Venture | Tier: 4 | Based in United States
abstract-ventures,Abstract Ventures | Type: Venture | Tier: 4 | Based in United States
blockbase,BlockBase | Type: Venture | Tier: 4 | Based in Vietnam
decima,Decima | Type: Venture | Tier: 4 | Based in Japan
black-alpha,Black Alpha | Type: Venture | Tier: 4 | Location: Not specified
perridon-ventures,Perridon Ventures | Type: Venture | Tier: 4 | Based in UAE
xvc-tech,XVC Tech | Type: Venture | Tier: 4 | Location: Not specified
sigil-fund,Sigil Fund | Type: Venture | Tier: 4 | Location: Not specified
semantic-ventures,Semantic Ventures | Type: Venture | Tier: 4 | Based in United Kingdom
great-south-gate,GSG | Great South Gate | Type: Venture | Tier: 4 | Based in Singapore
kgen,KGeN | Type: Corporation | Tier: 4 | Location: Not specified
rollman-management,Rollman Management | Type: Venture | Tier: 4 | Location: Not specified
l2-iterative-ventures,L2 Iterative Ventures (L2IV) | Type: Venture | Tier: 4 | Based in United States
wischoff-ventures,Wischoff Ventures | Type: Venture | Tier: 4 | Location: Not specified
relayer-capital,Relayer Capital | Type: Venture | Tier: 4 | Location: Not specified
enigma,Enigma | Type: Venture | Tier: 4 | Based in France
eigenvalue-ventures,EigenValue Ventures | Type: Venture | Tier: 4 | Location: Not specified
equilibrium-ventures,Equilibrium Ventures | Type: Venture | Tier: 4 | Location: Not specified
kahuna-ventures,Kahuna | Type: Venture | Tier: 4 | Location: Not specified
citizen-capital,Citizen Capital | Type: Venture | Tier: 4 | Location: Not specified
cryptonite-capital,Cryptonite Capital | Type: Venture | Tier: 4 | Based in Hong Kong
flashbots,Flashbots | Type: Corporation | Tier: 4 | Location: Not specified
sol-global,SOL Global | Type: Venture | Tier: 4 | Location: Not specified
l1-digital,L1 Digital | Type: Venture | Tier: 4 | Based in Switzerland
core-ventures,Core Ventures | Type: Venture | Tier: 4 | Location: Not specified
multiversx,MultiversX | Type: Corporation | Tier: 4 | Location: Not specified
astrarizon-ventures,Astrarizon Ventures | Type: Venture | Tier: 4 | Location: Not specified
nx-gen,NxGen | Type: Venture | Tier: 4 | Based in UAE
unreal-capital,Unreal Capital | Type: Venture | Tier: 4 | Based in Seychelles
spicy-capital,Spicy Capital | Type: Venture | Tier: 4 | Location: Not specified
1nvst,1NVST | Type: Venture | Tier: 4 | Location: Not specified
absoluta-digital,Absoluta Digital | Type: Venture | Tier: 4 | Location: Not specified
whale-ground,Whale Ground | Type: Venture | Tier: 4 | Location: Not specified
green-arrow-ventures,Green Arrow Ventures | Type: Venture | Tier: 4 | Location: Not specified
metazero-capital,Metazero Capital | Type: Venture | Tier: 4 | Location: Not specified
flow-ecosystem-fund,Flow Ecosystem Fund | Type: Venture | Tier: 4 | Based in United States
wli-capital,W.L.I. Capital | Type: Venture | Tier: 4 | Location: Not specified
avenir-group,Avenir Group | Type: Venture | Tier: 4 | Location: Not specified
follow-theseed,Follow the Seed | Type: Venture | Tier: 4 | Location: Not specified
entree-cap,Entree Capital | Type: Venture | Tier: 4 | Location: Not specified
kelsier,Kelsier | Type: Venture | Tier: 4 | Location: Not specified
rise-capital,Rise Capital | Type: Venture | Tier: 4 | Location: Not specified
wolf,Wolf | Type: Incubator | Tier: 4 | Location: Not specified
zerostage,ZeroStage | Type: Incubator | Tier: 4 | Based in UAE
binary-builders,Binary Builders | Type: Venture | Tier: 4 | Location: Not specified
unicorn-verse,Unicorn Verse | Type: Incubator | Tier: 4 | Based in Singapore
heartcore-capital,Heartcore Capital | Type: Venture | Tier: 4 | Based in Denmark
outliers-fund,Outliers Fund | Type: Venture | Tier: 4 | Based in United States
bullish,Bullish | Type: Exchange | Tier: 4 | Based in United States
bitcoin-startup-lab,Bitcoin Startup Lab | Type: Incubator | Tier: 4 | Location: Not specified
sypher-capital,Sypher Capital | Type: Venture | Tier: 4 | Location: Not specified
disruptech,DisrupTech | Type: Venture | Tier: 4 | Location: Not specified
baring-vostok,Baring Vostok | Type: Venture | Tier: 4 | Location: Not specified
alfacatalyst,AlfaCatalyst | Type: Venture | Tier: 4 | Location: Not specified
silvermine,Silvermine | Type: Venture | Tier: 4 | Location: Not specified
social-graph-ventures,Social Graph Ventures | Type: Venture | Tier: 4 | Location: Not specified
coinvestor,Coinvestor | Type: Venture | Tier: 4 | Location: Not specified
unicorn-ventures,Unicorn Ventures | Type: Venture | Tier: 4 | Location: Not specified
lunar-labs-capital,Lunar Labs Capital | Type: Incubator | Tier: 4 | Location: Not specified
coinvestor-ventures,Coinvestor Ventures | Type: Venture | Tier: 4 | Location: Not specified
hexa,HEXA Global Ventures | Type: Venture | Tier: 4 | Location: Not specified
karman-ventures,Karman Ventures | Type: Venture | Tier: 4 | Location: Not specified
variv,Variv | Type: Venture | Tier: 4 | Location: Not specified
hodl-ventures,Hodl Ventures | Type: Venture | Tier: 4 | Location: Not specified
mochax-ventures,MochaX | Type: Venture | Tier: 4 | Location: Not specified
avid3,AVID3 | Type: Venture | Tier: 4 | Location: Not specified
build-a-bera-workshop,Build A Bera Workshop | Type: Venture | Tier: 4 | Location: Not specified
tangent,tangent | Type: Venture | Tier: 4 | Location: Not specified
pinnacle-venture-capital,Pinnacle Venture Capital | Type: Venture | Tier: 4 | Location: Not specified
nayt-technologies,Nayt Technologies | Type: Corporation | Tier: 4 | Location: Not specified
fx168-finance,FX168 Finance Group | Type: Venture | Tier: 4 | Location: Not specified
prometehuz,PROMETHEUZ | Type: Venture | Tier: 4 | Location: Not specified
lightning-ventures,Lightning Ventures | Type: Venture | Tier: 4 | Based in United States
cetus,Cetus | Type: Corporation | Tier: 4 | Location: Not specified
scallop,Scallop | Type: Corporation | Tier: 4 | Location: Not specified
solowin,Solowin | Type: Venture | Tier: 4 | Location: Not specified
atw-partners,ATW Partners | Type: Corporation | Tier: 4 | Location: Not specified
blockbooster,BlockBooster | Type: Venture | Tier: 4 | Location: Not specified
071labs,071labs | Type: Venture | Tier: 4 | Location: Not specified
miton,MitonC | Type: Venture | Tier: 4 | Location: Not specified
redbeardvc,Red Beard Ventures | Type: Venture | Tier: 4 | Based in United States
optic-capital,Optic Capital | Type: Venture | Tier: 4 | Location: Not specified
elevate-ventures,ElevateVentures | Type: Venture | Tier: 4 | Based in Poland
funders-vc,Funders VC | Type: Venture | Tier: 4 | Location: Not specified
primeset,PrimeSet | Type: Venture | Tier: 4 | Location: Not specified
wisemont-capital,Wisemont Capital | Type: Venture | Tier: 4 | Location: Not specified
ipn-foundation,IPN Foundation | Type: Venture | Tier: 4 | Location: Not specified
l-bank,LBank | Type: Corporation | Tier: 4 | Location: Not specified
astroid,Astroid | Type: Venture | Tier: 4 | Location: Not specified
summer-ventures,Summer Ventures | Type: Venture | Tier: 4 | Based in Hong Kong
fasanara-digital,Fasanara Digital | Type: Venture | Tier: 4 | Location: Not specified
taiko,Taiko | Type: Corporation | Tier: 4 | Location: Not specified
ckb-eco-fund,CKB Eco Fund | Type: Venture | Tier: 4 | Location: Not specified
sumcap,Sumcap | Type: Venture | Tier: 4 | Location: Not specified
depin-x,DePIN X | Type: Venture | Tier: 4 | Location: Not specified
280-capital,280 Capital | Type: Venture | Tier: 4 | Location: Not specified
caliber-ventures,Caliber Ventures | Type: Venture | Tier: 4 | Location: Not specified
coresky,Coresky | Type: Corporation | Tier: 4 | Location: Not specified
fusion-7,Fusion7 | Type: Venture | Tier: 4 | Location: Not specified
bevm,BEVM | Type: Corporation | Tier: 4 | Location: Not specified
enflux,Enflux | Type: Corporation | Tier: 4 | Based in Singapore
ayanda-capital,Ayanda Capital | Type: Venture | Tier: 4 | Based in United Kingdom
fs-ventures,FS Ventures | Type: None | Tier: 4 | Based in United Kingdom
g42,G42 | Type: Venture | Tier: 4 | Based in UAE
hawkwood-capital,Hawkwood Capital | Type: Venture | Tier: 4 | Location: Not specified
pivot,Pivot Global | Type: Venture | Tier: 4 | Location: Not specified
batu,Batu | Type: Venture | Tier: 4 | Location: Not specified
p-ops-team,P-OPS Team | Type: Venture | Tier: 4 | Location: Not specified
bridge,Bridge | Type: Corporation | Tier: 4 | Location: Not specified
lamina-ecosystem-fund,Lamina1 | Type: Corporation | Tier: 4 | Location: Not specified
peak-xv-partners,Peak XV Partners | Type: Venture | Tier: 4 | Location: Not specified
stakeholder,Stakeholder | Type: Venture | Tier: 4 | Location: Not specified
metavallon,Metavallon | Type: Venture | Tier: 4 | Location: Not specified
wise3-ventures,Wise3 Ventures | Type: Venture | Tier: 4 | Based in El Salvador
veil,Veil | Type: Venture | Tier: 4 | Location: Not specified
boyaa,Boyaa | Type: Corporation | Tier: 4 | Location: Not specified
heritage-horizon-capital,Heritage Horizon Capital | Type: Venture | Tier: 4 | Location: Not specified
o-de-capital-partners,O-DE Capital Partners | Type: Venture | Tier: 4 | Location: Not specified
harbour-industrial-capital,Harbour Industrial Capital | Type: Venture | Tier: 4 | Location: Not specified
genius-group,Genius Group | Type: Corporation | Tier: 4 | Location: Not specified
starkiller-capital,Starkiller Capital | Type: Venture | Tier: 4 | Location: Not specified
tomahawk-vc,Tomahawk VC | Type: Venture | Tier: 4 | Based in Switzerland
zypsy,Zypsy | Type: Venture | Tier: 4 | Based in United States
bit-mining,BIT Mining | Type: Corporation | Tier: 4 | Location: Not specified
daim,DAIM | Type: Venture | Tier: 4 | Location: Not specified
contribution-capital,Contribution Capital | Type: Venture | Tier: 4 | Based in United States
sats-ventures,Sats Ventures | Type: Venture | Tier: 4 | Location: Not specified
abo-digital,ABO Digital | Type: Venture | Tier: 4 | Location: Not specified
astera-ventures,Astera Ventures | Type: Venture | Tier: 4 | Location: Not specified
celestinesloths,CelestineSloths | Type: Corporation | Tier: 4 | Location: Not specified
linklogis,Linklogis | Type: Venture | Tier: 4 | Based in China
protein-capital,Protein Capital | Type: Venture | Tier: 4 | Location: Not specified
vivatech-ventures,VivaTech Ventures | Type: Venture | Tier: 4 | Location: Not specified
coinbold,Coinbold | Type: Venture | Tier: 4 | Location: Not specified
digital-consensus,Digital Consensus | Type: Venture | Tier: 4 | Location: Not specified
futurecraft-ventures,Futurecraft Ventures | Type: Venture | Tier: 4 | Based in United Kingdom
techfarm,TechFarm | Type: Venture | Tier: 4 | Location: Not specified
xlink-labs,XLink Labs | Type: Venture | Tier: 4 | Location: Not specified
uniSat,UniSat | Type: Corporation | Tier: 4 | Location: Not specified
jdi-venture,JDI | Type: Venture | Tier: 4 | Location: Not specified
ufly-labs,UFLY Labs | Type: Venture | Tier: 4 | Location: Not specified
ub-ventures,UB Ventures | Type: Venture | Tier: 4 | Based in Vietnam
hilbert-group,Hilbert Group | Type: Venture | Tier: 4 | Based in Sweden
nv-capital,NV Capital | Type: Venture | Tier: 4 | Location: Not specified
gemhead-capital,Gemhead Capital | Type: Venture | Tier: 4 | Based in United Kingdom
ytwo,YTWO | Type: Venture | Tier: 4 | Based in Singapore
cherry-vc,Cherry VC | Type: Venture | Tier: 4 | Location: Not specified
sudo-research,SuDo Research | Type: Venture | Tier: 4 | Based in Taiwan
genesis-capital,Genesis Capital | Type: Venture | Tier: 4 | Location: Not specified
triton,TRITON | Type: Venture | Tier: 4 | Location: Not specified
metabros,Metabros | Type: Venture | Tier: 4 | Location: Not specified
spyre-capital,Spyre Capital | Type: Venture | Tier: 4 | Location: Not specified
ozaru-ventures,OZARU Ventures | Type: Venture | Tier: 4 | Location: Not specified
arc-community,Arc Community | Type: Venture | Tier: 4 | Location: Not specified
yellow-capital,Yellow Capital | Type: Venture | Tier: 4 | Location: Not specified
chalfen-ventures,Chalfen Ventures | Type: Venture | Tier: 4 | Location: Not specified
corenest-capital,CoreNest Capital | Type: Venture | Tier: 4 | Location: Not specified
hoxton-ventures,Hoxton Ventures | Type: Venture | Tier: 4 | Location: Not specified
cyber,Cyber | Type: Corporation | Tier: 4 | Location: Not specified
onepiece-labs,OnePiece Labs | Type: Incubator | Tier: 4 | Based in United States
buidlerdao,BuidlerDAO | Type: DAO | Tier: 4 | Location: Not specified
purechain-capital,Purechain Capital | Type: Venture | Tier: 4 | Location: Not specified
danu-ventures,Danu Ventures | Type: Venture | Tier: 4 | Location: Not specified
majinx-capital,Majinx Capital | Type: Venture | Tier: 4 | Location: Not specified
hc-ventures,HC Capital | Type: Venture | Tier: 4 | Location: Not specified
absolute-digital,Absolute Digital VC | Type: Venture | Tier: 4 | Location: Not specified
caldera,Caldera | Type: Corporation | Tier: 4 | Location: Not specified
evoInvest,EvoInvest | Type: Venture | Tier: 4 | Location: Not specified
neon-eight,Neon Eight | Type: Venture | Tier: 4 | Location: Not specified
sovo,SOVO | Type: Venture | Tier: 4 | Location: Not specified
steroids-capital,Steroids Capital | Type: Venture | Tier: 4 | Location: Not specified
stanford-blockchain,Stanford Blockchain | Type: Venture | Tier: 4 | Location: Not specified
kaiko,Kaiko | Type: Corporation | Tier: 4 | Location: Not specified
nextblock,NextBlock | Type: Venture | Tier: 4 | Location: Not specified
ovni-capital,OVNI Capital | Type: Venture | Tier: 4 | Based in France
forward-research,Forward Research | Type: Corporation | Tier: 4 | Location: Not specified
koyamaki-ventures,Koyamaki Ventures | Type: Venture | Tier: 4 | Location: Not specified
oxygea,Oxygea | Type: Venture | Tier: 4 | Location: Not specified
iobc-capital,IOBC Capital | Type: Venture | Tier: 4 | Based in China
opulence,Opulence | Type: Venture | Tier: 4 | Location: Not specified
ibgtg-capital,IBGTG Capital | Type: Venture | Tier: 4 | Location: Not specified
sketch-venture,Sketch Venture | Type: Venture | Tier: 4 | Location: Not specified
soave-swap,Soave Swap | Type: Corporation | Tier: 4 | Location: Not specified
ax1,AX1 | Type: Venture | Tier: 4 | Location: Not specified
heliad-ag,Heliad AG | Type: Venture | Tier: 4 | Based in Germany
